id	name	category	section_name	neighborhood
224	A. de Valladolid-Enginyer Vicent Pichó	principal	5B	
370	A. Pianista Martínez Carrasco-Eslida	principal	8B	
185	A. Primat Reig-Sant Vicent de Paül	principal	4C	
6	A. Regne de València - Duc de Calàbria	principal	Especial	Russafa
138	A.Jacinto Benavente-Regina Na Germana	principal	3C	
179	A.Tarongers-Universitat Politècnica	experimental	4C	
229	Acàcies-Picaio	principal	5B	
312	Actor Mora-Constitució	principal	7A	
181	Alacant	principal	4C	
164	Alberic-Heroi Romeu	principal	4B	
291	Alcàsser-Iàtova	principal	6C	
247	Alemanya-El Batxiller	principal	5C	
367	Alfons el Magnànim-Nau-Bonaire	principal	8A	
8	Almirall Cadarso - Comte d'Altea	principal	Especial	Gran Via
391	Àngel Guimerà-Pintor Vila Prades	principal	FC	
358	Àngel Villena-Pintor Sabater	principal	8A	
366	Antiga Senda de Senent-Albereda	principal	8A	
153	Aras de Alpuente-Castell de Pop	principal	4A	
156	Arquitecte Alfaro-Francesc Cubells	principal	4A	
219	Arts i Oficis-Actor Llorens	principal	5B	
319	Av.Regne de València-Mestre Serrano	principal	7B	
244	Avinguda Ausiàs March-Na Rovella	principal	5C	
389	Avinguda Burjassot-Carretera de Paterna	experimental	8C	
227	Avinguda Campanar-Hipòlit Rovira	principal	5B	
147	Avinguda de Burjassot-Joaquim Ballester	principal	4A	
278	Avinguda de la Plata-La Senyera	principal	6B	
149	Avinguda Giorgeta-Roís de Corella	principal	4A	
182	Avinguda l'Equador-Alcalde Gurrea	principal	4C	
202	Avinguda Pérez Galdós-Calixt III	principal	5A	
134	Avinguda Peris i Valero-Cuba	principal	3C	
140	Avinguda Poeta García Lorca-Oltà	principal	3C	
338	Avinguda Portugal-Fragata	principal	7C	
341	Avinguda Primat Reig-Vinaròs	principal	7C	
113	Avinguda Regne de València-Ciscar	principal	3B	
325	Avinguda.Burjassot-Serra d'Agullent	principal	7B	
129	Bailén-Xàtiva	principal	3C	
337	Baix-Mesó de Morella	principal	7C	
170	Baró de Patraix-Conca	principal	4B	
309	Barraca-Columbretes	principal	7A	
184	Barraca-Església del Rosari	principal	4C	
144	Barri Beteró	principal	4A	
118	Barri de Sant Isidre	principal	3B	
214	Barri Quint-Pizarro	principal	5B	
237	Benicadell-Sant Roc	principal	5C	
330	Benimodo-Enginyer Dicenta	principal	7B	
201	Bisbe Jaume Pérez-Lluís Oliag	principal	5A	
350	Blanqueries	principal	7C	
392	Blasco Ibáñez-Mestre Ripoll	principal	FC	
207	Borrull-Socors	experimental	5A	
208	Borrull-Túria	principal	5A	
115	Cadis-Dénia	principal	3B	
195	Cadis-Mossén Femenia-Puerto Rico	principal	4C	
200	Calvo Acacio	principal	5A	
334	Camí d'Alba-Castell de Cullera	principal	7C	
274	Camí de Barcelona-Camí de Montcada	principal	6B	
190	Camí de Montcada-Pintor Jacomart	principal	4C	
122	Camí Nou de Picanya-Nicolau Primitiu	principal	3B	
281	Campament-La Iessa	principal	6B	
228	Carabasses-En Gall	principal	5B	
360	Carcaixent-Compromís de Casp	principal	8A	
135	Carrera de S.Lluís-A. Doctor Waksman	principal	3C	
279	Carrera de Sant Lluís-Rafael Albiñana	principal	6B	
288	Carretera d'Escrivà-Coop. de S.Ferran	principal	6C	
339	Carters-Litògraf Pasqual i Abad	principal	7C	
352	Cases de Bàrcena	principal	8A	
125	Castelló-Sogorb	principal	3C	
242	Castielfabib-Marqués de Sant Joan	experimental	5C	
355	Cedre-Explorador Andrés	principal	8A	
126	Cervantes-Pare Jofré	principal	3C	
345	Ciutat de Córdova-Vicent Tomàs Martí	principal	7C	
232	Ciutat de l'Artista Faller	principal	5C	
313	Conchita Piquer-Monestir de Poblet	principal	7A	
150	Conserva-Berenguer Mallol	principal	4A	
1	Convent de Jerusalem - Matemàtic Marzal	principal	Especial	La Roqueta
234	Corretgeria-Bany dels Pavesos	principal	5C	
160	Costa i Borràs-Agustina d'Aragó	principal	4B	
137	Creu i Mislata	principal	3C	
9	Cuba - Literat Azorín	principal	Especial	Russafa
112	Cuba-Buenos Aires	principal	3B	
165	Cuba-Dénia	principal	4B	
152	Cuba-Puerto Rico	principal	4A	
194	Cuenca Tramoyeres-La Guàrdia Civil	principal	4C	
311	Dalt-Sant Tomàs	principal	7A	
321	Daroca-Pare Viñas	principal	7B	
327	Doctor Álvaro López-Sant Joan de Déu	principal	7B	
230	Doctor Domingo Orozco-Bailén	principal	5B	
266	Doctor Gómez Ferrer	principal	6A	
146	Doctor Joan Josep Dómine-Port	principal	4A	
255	Doctor Manuel Candela-Beatriz Tortosa	principal	6A	
252	Doctor Sanchis Bergón-Túria	principal	6A	
286	Dr. Peset Aleixandre-En Guillem Ferrer	principal	6C	
254	Dr.Manuel Candela-Avinguda del Port	principal	6A	
308	Embarcador-Historiador Betí	principal	7A	
275	En Plom-Guillem de Castro	principal	6B	
336	En Sendra-Plaça Coll	principal	7C	
222	Enginyer Josep Sirera-Pius IX	principal	5B	
188	Enginyer Manuel Maese-Cristóbal Llorens	principal	4C	
264	Enginyer Manuel Soto - Avinguda França	principal	6A	
343	Escalante-Empar Guillén	principal	7C	
324	Escalante-Marina	principal	7B	
348	Escultor García Mas-Port de Sta María	principal	7C	
373	Evarist Bas-Cullera	principal	8B	
7	Exposició - Misser Mascó	principal	Especial	Exposició
210	Felipe Bellver-Mare Ràfols	principal	5A	
302	Fermín Galán Hernández-Primavera	principal	6C	
294	Ferran el Catòlic-Erudit Orellana	principal	6C	
283	Fontcalent-Lebon	principal	6B	
121	Fra J. Rodríguez-Pintor Cortina	principal	3B	
213	Francesc Climent-L'Uruguai	principal	5A	
189	G.Tejero Langarita - Vicente Chuliá	principal	4C	
161	General Pando-Serrano Flores	principal	4B	
143	Glòria-Felicitat-El Tremolar	principal	4A	
178	Goya-El Brasil	principal	4C	
248	Gravador Jordán-Escultor Pastor	principal	5C	
284	Grup de Peixcadors del Perellonet	principal	6B	
166	Grups Mare de Déu del Carme	principal	4B	
245	Guardacostes-Músic Jarque Cualladó	principal	5C	
375	Guillem de Castro-Triador	principal	8B	
332	Guillem Sorolla-Recaredo	principal	7B	
205	Hellín-Pere de Luna	principal	5A	
380	Hernández Lázaro-Vall de la Ballestera	principal	8C	
386	Hort de Sant Valer-Avinguda de la Plata	principal	8C	
197	Humanista Mariner-Manuel Simó	principal	5A	
314	Iecla-Cardenal Benlloch	principal	7A	
204	Isaac Peral-Méndez Núñez	principal	5A	
354	Isaac Peral-Misser Mascó	principal	8A	
277	Isabel de Villena-Gregorio Gea	principal	6B	
269	Jacint Labaila-Manuel Simó	principal	6B	
387	Jesús Morante -Caminot (La Punta)	principal	8C	
363	Joan Baptista Vives	principal	8A	
127	Joan d'Aguiló-Gaspar Aguilar	principal	3C	
320	Joaquim Navarro-Carrícola	principal	7B	
296	Josep Benlliure-Teatre de la Marina	principal	6C	
347	Josep Benlliure-Vicent Guillot	principal	7C	
331	Josep Maestre	principal	7B	
307	Josep Maria Bayarri-Los Isidros	principal	7A	
318	Josep Maria Haro-Poeta Mas i Ros	principal	7B	
238	Josep Soto Micó-Síndic Mocholí	principal	5C	
328	L'Alcota-Sagunt	principal	7B	
120	L'Eliana-El Cid	principal	3B	
303	La Pobla del Duc-Benipeixcar	principal	7A	
369	La Vall d'Albaida-La Canal de Navarrés	experimental	8B	
233	La Vall de Laguar-Pare Ferris	experimental	5C	
298	Lepant-En Joan d'Àustria	principal	6C	
256	Lepant-Guillem de Castro	experimental	6A	
211	Lleons-Poeta Mas i Ros	principal	5A	
236	Llibertat-Teodor Llorente	principal	5C	
267	Llorers-Arquitecte Lucini	principal	6A	
128	Lluís Lamarca-Velázquez	principal	3C	
362	Lluís Oliag-Mariola-Granada	principal	8A	
388	Luz Casanova-Pare Espasa	principal	8C	
333	M. Melià i Fuster-Mª Fernanda D'Ocón	principal	7B	
167	Major-Moraira-Natzaret	principal	4B	
378	Màlaga-Doctor Montoro	principal	8B	
317	Manuel Arnau-La Creu Coberta	principal	7B	
157	Manuel de Falla-Tamarindes	principal	4A	
239	Manuel Melià i Fuster-Carles Cortina	principal	5C	
290	Mare de Déu de la Cabeça-Mortes Lerma	principal	6C	
323	Mare de Déu de la Fontsanta	principal	7B	
187	Marià Benlliure-Séquia de Tormos	principal	4C	
349	Maria Ros-Manuel Iranzo	principal	7C	
353	Maria Ros-Sant Tomàs	principal	8A	
340	Marqués de Caro-Doctor Chiarri	principal	7C	
293	Marqués de Lozoya-Poeta.Josep Cervera	principal	6C	
133	Marqués de Montortal-Josep Esteve	principal	3C	
132	Marqués de Solferit	principal	3C	
116	Mendizábal	principal	3B	
148	Menéndez i Pelaio-Avinguda Catalunya	principal	4A	
351	Menorca-Lluís Bolinches	principal	7C	
171	Mercat de Castella	principal	4B	
250	Mestre Aguilar-Maties Perelló	principal	6A	
119	Mestre Arambul Sanz-Campanar	principal	3B	
299	Mestre Bellver-Marià Ribera	principal	6C	
342	Mestre Lope-Josep Carsí	principal	7C	
390	Mestre Serrano-Alacant	principal	8C	
301	Mestre Valls-Marí Albesa	principal	6C	
174	Ministre Luis Mayans-Argenter Suárez	principal	4B	
361	Misser Rabassa-Poeta Maragall	principal	8A	
2	Monestir de Poblet - Aparicio Albiñana	principal	Especial	Campanar
226	Mont de Pietat	principal	5B	
305	Mossén Josep Cuenca-Pinedo	principal	7A	
117	Mossén Sorell-Corona	experimental	3B	
374	Murillo-Palomar	principal	8B	
306	Músic Espí-Gravador Fabregat	principal	7A	
3	Na Jordana	principal	Especial	El Carme
154	Nador-Miraculosa	principal	4A	
177	Nàquera-Lauri Volpi	principal	4B	
176	Nord-Doctor Zamenhoff	principal	4B	
289	Norman Bethune - Guillem Despuig	principal	6C	
163	Olivereta-Cerdà i Rico	principal	4B	
198	Oltà-Juan Ramón Jiménez	principal	5A	
145	Palleter-Erudit Orellana	principal	4A	
258	Pare Alegre-Enric Navarro	principal	6A	
310	Pare Domènech-Avinguda Pius XII	principal	7A	
381	Pare Lluís Navarro-Remunta	principal	8C	
253	Pare Viñas-Agustín Lara	principal	6A	
172	Pelai-Matemàtic Marzal	principal	4B	
259	Pere Cabanes-Comte de Lumiares	principal	6A	
270	Pere Cabanes-Joan XXIII	principal	6B	
377	Pérez Galdós-Jesús-Mestre Sosa	principal	8B	
159	Periodista Gil Sumbiela-Assutzena	principal	4A	
280	Pi i Margall-Arturo Cervellera	principal	6B	
376	Pintor Domingo-Guillem de Castro	principal	8B	
212	Pintor Pasqual Capuz-Fontanars	principal	5A	
217	Pintor Salvador Abril-Pere III El Gran	principal	5B	
304	Pintor Stolz-Burgos	principal	7A	
365	Pius XII-Jaume Roig	principal	8A	
203	Pl.d'Espanya-Ramón y Cajal-P.Benedito	principal	5A	
168	Pl.Segòvia-Avinguda Dr.Tomàs Sala	principal	4B	
357	Plaça de l'Àngel	principal	8A	
183	Plaça de l'Arbre	principal	4C	
231	Plaça de la Moreria	principal	5B	
260	Plaça del Negret	principal	6A	
4	Plaça del Pilar	principal	Especial	Velluters
385	Plaça del Poble.-Sant Roc	principal	8C	
364	Plaça del Pouet	principal	8A	
379	Plaça Doctor Berenguer Ferrer	principal	8C	
372	Plaça Hondures	principal	8B	
271	Plaça Jesús	experimental	6B	
240	Plaça La Creu -Els Àngels	principal	5C	
142	Plaça Lluís Cano	principal	4A	
139	Plaça Mare de Déu de Lepant	principal	3C	
111	Plaça Mercat de Montolivet	principal	3B	
241	Plaça Mercat de Russafa	principal	5C	
359	Plaça Mossén Milà	principal	8A	
218	Plaça Patraix	principal	5B	
384	Plaça Pere María Orts i Bosch	principal	8C	
251	Plaça Rojas Clemente	principal	6A	
180	Plaça Sant Bult	principal	4C	
371	Plaça Sant Joan	principal	8B	
285	Plaça Sant Miquel-Vicent Iborra	principal	6B	
316	Plaça Santa Creu	principal	7B	
192	Plaça Sequiota-El Palmar	principal	4C	
335	Plaça Vicent Castell Maíques	principal	7C	
346	Pobla Valverde-II República Espanyola	principal	7C	
114	Poeta Alberola-Totana	principal	3B	
322	Poeta Altet-Benicarló	principal	7B	
223	Poeta Asins-Alegret-Puçol	principal	5B	
215	Poeta Emili Baró-Enric Ginesta	principal	5B	
382	Poetes Anònims-Real de Gandia	principal	8C	
262	Polo y Peyrolón-Ciutat de Mula	principal	6A	
329	Portal de la Valldigna-Salines	principal	7B	
130	Progrés-Teatre de la Marina	principal	3C	
356	Quart-Túria	principal	8A	
123	Ramiro de Maeztu-Humanista Furió	principal	3B	
173	Ramon de Rocafull-Comte d'Alaquàs	principal	4B	
287	Reina-Vicent Guillot	principal	6C	
196	República Argentina-Dr.Pallarés Iranzo	principal	5A	
249	Ripalda-Beneficència-Sant Ramon	experimental	5C	
243	Ripalda-Soguers	principal	5C	
282	Riu Bidasoa-Comte de Torrefiel	principal	6B	
199	Riu Segura-Forn d'Alcedo	principal	5A	
246	Riu Tajo-Cavite	principal	5C	
158	Rodríguez de Cepeda-Llorenç Palmireno	principal	4A	
193	Rosari-Plaça Calabuig	principal	4C	
263	Rubén Darío-Fra Lluís Colomer	principal	6A	
220	Rubén Vela-Avinguda Doctor Waksman	principal	5B	
268	S.Josep de Pignatelli-Dr.Peset Aleixandre	principal	6B	
175	S.Vicent de Paül-Dip. Clara Campoamor	principal	4B	
162	Sagunt-Sant Antoni-Pare Urbano	principal	4B	
216	Sagunt-Sant Guillem	principal	5B	
326	Saineter Arniches-Arquitecte Ribes	principal	7B	
151	Salamanca-Comte d'Altea	principal	4A	
344	Salvador Giner-Gregori Gea	principal	7C	
186	Sant Antoni	principal	4C	
155	Sant Ignasi de Loiola-Jesús i Maria	principal	4A	
292	Sant Joan Bosco-Duc de Mandas	principal	6C	
235	Sant Pere-Mare de Déu de la Vallivana	principal	5C	
209	Sant Rafael-Antón Martín	principal	5A	
131	Sant Vicent Màrtir-Pianista Empar Iturbi	principal	3C	
265	Santa Cruz de Tenerife	principal	6A	
169	Santiago Rusiñol-Comte de Lumiares	principal	4B	
206	Sants Just i Pastor-Serradora	principal	5A	
300	Sèneca-Iecla	principal	6C	
297	Sèneca-Poeta Mas i Ros	principal	6C	
368	Senent Ibáñez-Massarrojos	principal	8B	
141	Serra Martés-Miguel Servet	principal	3C	
295	Sevilla-Dénia	principal	6C	
5	Sueca - Literat Azorín	principal	Especial	Russafa
383	Suïssa-L'Alquería del Favero	principal	8C	
124	Tomasos-Carles Cervera	principal	3C	
261	Tres Camins-Pinedo	principal	6A	
136	Tres Forques-Conca-Pérez Galdós	principal	3C	
273	Trinitat-Alboraia	principal	6B	
225	Universitat Vella-Plaça Patriarca	principal	5B	
191	Veneçuela-Agustí Sales	principal	4C	
272	Vidal de Canyelles-Sánchez Coello	principal	6B	
315	Vilanova de Castelló-Horticultor Galán	principal	7A	
276	Visitació-Oriola	principal	6B	
257	Vivons-Romeu de Corbera	principal	6A	
221	Xiva-Francisco de Llano	principal	5B	
